DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/08/28 16:28:00,AQUA_M-T,Brasil,PERNAMBUCO,PEDRA,Caatinga,41,0.0,1.0,-8.52705,-36.93147,10.3
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,SÃO JOSÉ DO PEIXE,Caatinga,48,0.0,1.0,-7.40538,-42.41065,163.8
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,SÃO FRANCISCO DO PIAUÍ,Caatinga,48,0.0,1.0,-7.40376,-42.41463,141.0
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,SÃO FRANCISCO DO PIAUÍ,Caatinga,49,0.0,1.0,-7.40056,-42.37107,56.1
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,SÃO FRANCISCO DO PIAUÍ,Caatinga,49,0.0,1.0,-7.39868,-42.3751,73.3
2024/08/28 16:28:00,AQUA_M-T,Brasil,CEARÁ,SANTANA DO CARIRI,Caatinga,81,0.0,1.0,-7.33054,-39.88662,32.9
2024/08/28 16:28:00,AQUA_M-T,Brasil,CEARÁ,SANTANA DO CARIRI,Caatinga,76,0.0,1.0,-7.27048,-39.86917,40.8
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,PICOS,Caatinga,50,0.0,1.0,-7.00641,-41.45596,25.1
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,FLORIANO,Caatinga,101,0.0,1.0,-6.78097,-42.91841,73.2
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,FLORIANO,Caatinga,101,0.0,1.0,-6.78019,-42.91475,62.4
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,NOVO ORIENTE DO PIAUÍ,Caatinga,63,0.0,1.0,-6.61597,-42.01862,104.8
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,NOVO ORIENTE DO PIAUÍ,Caatinga,58,0.0,1.0,-6.61157,-41.98309,268.1
2024/08/28 16:28:00,AQUA_M-T,Brasil,PIAUÍ,NOVO ORIENTE DO PIAUÍ,Caatinga,66,0.0,1.0,-6.61077,-42.02327,56.4
