Produto,Quantidade,Preço Unitário,Total,Linha de Produto,Tipo de Cliente,Gênero,Cidade
Arroz; Feijão,3,,129.35534545878585,Higiene,VIP,Outro,Rio de Janeiro
Legumes,2,31.60829376072399,63.21658752144798,Bebidas,VIP,Outro,Curitiba
Óleo,,8.307901764638787,49.84741058783273,Limpeza,Regular,Feminino,Rio de Janeiro
Macarrão,2,32.38626844702829,64.77253689405659,Bebidas,Regular,Feminino,Porto Alegre
Pão,5,3.242669541774677,16.213347708873385,Alimentos,Regular,Outro,São Paulo
,5,,170.83021921969862,Bebidas,Novo,Masculino,Belo Horizonte
Arroz,6,39.79516857383542,238.77101144301253,Alimentos,Novo,Masculino,Curitiba
,4,38.950676101125254,155.80270440450101,Bebidas,VIP,Feminino,Belo Horizonte
,5,36.960683424745966,184.80341712372984,Bebidas,Novo,Outro,Curitiba
,,,8.054302717677439,Bebidas,Regular,Masculino,Rio de Janeiro
Arroz,,,118.3979421778021,Higiene,VIP,Feminino,Curitiba
Legumes,8,13.320402150424076,106.56321720339261,Limpeza,Regular,Feminino,Porto Alegre
Legumes,,18.316049160604052,164.84444244543647,Higiene,VIP,Masculino,Rio de Janeiro
,6,33.29465279346025,199.76791676076152,Limpeza,VIP,Feminino,São Paulo
Arroz,7,35.59944297697423,249.19610083881963,Alimentos,VIP,Masculino,São Paulo
,9,7.050400624761622,63.453605622854596,Bebidas,Novo,Masculino,Belo Horizonte
Açúcar,3,41.499985508535715,124.49995652560715,Higiene,Novo,Outro,Rio de Janeiro
Feijão,3,12.101175047607203,36.30352514282161,Alimentos,VIP,Feminino,Porto Alegre
Leite,9,41.76960790488104,375.92647114392935,Limpeza,Novo,Feminino,São Paulo
,2,,18.67792515123558,Higiene,Novo,Masculino,Porto Alegre
,9,5.203828951911384,46.834460567202456,Limpeza,VIP,Outro,Curitiba
Açúcar,8,44.101115854969414,352.8089268397553,Higiene,Regular,Feminino,Porto Alegre
,7,8.65821281520654,60.607489706445776,Alimentos,VIP,Outro,Rio de Janeiro
Óleo,7,37.34465140495527,261.41255983468693,Limpeza,Regular,Feminino,Belo Horizonte
Sal,1,,29.869336235434563,Bebidas,VIP,Masculino,Rio de Janeiro
,6,10.821733760649861,64.93040256389916,Limpeza,VIP,Masculino,Rio de Janeiro
Açúcar,,,142.73408095507156,Higiene,VIP,Feminino,Rio de Janeiro
Óleo,9,1.3368968223146531,12.032071400831878,Bebidas,Novo,Feminino,Curitiba
Legumes,3,30.032374579019177,90.09712373705753,Bebidas,VIP,Masculino,Rio de Janeiro
Leite,9,36.82462884478962,331.4216596031066,Alimentos,VIP,Feminino,Belo Horizonte
Sal,3,42.99707618379396,128.99122855138188,Limpeza,VIP,Outro,Belo Horizonte
,,10.869581303604118,54.347906518020594,Higiene,VIP,Feminino,Belo Horizonte
,3,32.00723061885994,96.02169185657982,Limpeza,VIP,Outro,Curitiba
Sal,5,25.61625096569031,128.08125482845153,Limpeza,Regular,Masculino,Belo Horizonte
Açúcar,5,22.96020511319552,114.8010255659776,Higiene,Regular,Feminino,Rio de Janeiro
Fruta,3,30.053217910375007,90.15965373112502,Higiene,Regular,Outro,Belo Horizonte
Pão,9,21.408594801549818,192.67735321394835,Alimentos,Novo,Masculino,Curitiba
,7,22.972790911182695,160.80953637827886,Bebidas,Regular,Feminino,Belo Horizonte
Pão,2,11.733147607740854,23.466295215481708,Limpeza,Novo,Feminino,Rio de Janeiro
,4,39.300844680842935,157.20337872337174,Limpeza,Regular,Masculino,Belo Horizonte
,6,,276.11947980256684,Higiene,VIP,Masculino,Porto Alegre
,8,41.75512950133442,334.0410360106754,Bebidas,Regular,Feminino,Curitiba
Fruta,,46.38959890233589,278.3375934140154,Alimentos,VIP,Outro,Porto Alegre
Arroz,6,11.69008040672717,70.14048244036302,Alimentos,Novo,Masculino,Curitiba
Legumes,,8.2054885112308,57.43841957861561,Bebidas,Regular,Feminino,Rio de Janeiro
,9,21.899495710752113,197.09546139676902,Higiene,VIP,Feminino,Belo Horizonte
Arroz,9,29.98264891689439,269.8438402520495,Limpeza,Regular,Outro,Curitiba
Legumes,8,32.45028949402955,259.6023159522364,Limpeza,Regular,Feminino,São Paulo
Fruta,4,,191.32465227833572,Limpeza,VIP,Feminino,São Paulo
Legumes,2,49.00628389693934,98.01256779387867,Alimentos,Regular,Feminino,Porto Alegre
Macarrão,2,3.2330743472342354,6.466148694468471,Alimentos,VIP,Outro,São Paulo
Macarrão,5,12.911298992665873,64.55649496332937,Bebidas,Regular,Masculino,São Paulo
Macarrão,9,24.909608799810943,224.18647919829849,Bebidas,Novo,Outro,Porto Alegre
Leite,2,20.04719354507543,40.09438709015086,Higiene,VIP,Feminino,Rio de Janeiro
Arroz,7,2.915419259936579,20.407934819556054,Higiene,Regular,Outro,Rio de Janeiro
Feijão,9,20.086977626523623,180.78279863871262,Limpeza,Novo,Outro,Belo Horizonte
Fruta,2,23.372526752652487,46.74505350530497,Bebidas,Novo,Masculino,Belo Horizonte
Arroz,7,43.56661832416149,304.96632826913043,Bebidas,VIP,Masculino,Porto Alegre
Sal,2,40.969813015923734,81.93962603184747,Bebidas,Regular,Feminino,Curitiba
Arroz,,47.40376389105695,189.6150555642278,Bebidas,VIP,Feminino,São Paulo
