id_venda,id_produto,nome_produto,quantidade,preco_unitario,data_venda
1,104,Produto D,6,50.17,2024-11-03
2,101,Produto A,1,84.03,2024-11-03
3,101,Produto A,8,52.28,2024-12-01
4,101,Produto A,10,90.41,2024-11-29
5,103,Produto C,3,73.75,2024-11-11
6,105,Produto E,9,76.27,2024-11-02
7,105,Produto E,7,33.69,2024-11-03
8,103,Produto C,7,31.96,2024-11-30
9,104,Produto D,7,12.68,2024-11-08
10,104,Produto D,5,94.15,2024-12-01
11,101,Produto A,6,82.23,2024-11-08
12,102,Produto B,5,81.49,2024-11-19
13,103,Produto C,8,97.6,2024-11-09
14,104,Produto D,6,93.49,2024-11-01
15,102,Produto B,5,43.71,2024-11-17
16,105,Produto E,3,91.76,2024-11-16
17,104,Produto D,3,43.43,2024-11-30
18,101,Produto A,10,37.51,2024-11-12
19,102,Produto B,5,65.71,2024-11-01
20,105,Produto E,4,23.12,2024-11-14
21,105,Produto E,9,10.67,2024-11-08
22,102,Produto B,8,14.35,2024-11-19
23,105,Produto E,2,8.96,2024-11-18
24,101,Produto A,5,60.2,2024-11-12
25,104,Produto D,7,45.56,2024-11-13
26,104,Produto D,1,61.79,2024-11-18
27,101,Produto A,2,72.61,2024-11-16
28,104,Produto D,1,79.14,2024-11-21
29,101,Produto A,6,72.95,2024-11-04
30,103,Produto C,7,33.76,2024-11-03
31,101,Produto A,1,27.99,2024-11-09
32,103,Produto C,4,62.11,2024-11-12
33,102,Produto B,8,15.34,2024-11-23
34,103,Produto C,4,80.28,2024-11-27
35,102,Produto B,5,39.28,2024-11-06
36,101,Produto A,1,83.04,2024-11-28
37,103,Produto C,3,13.81,2024-11-02
38,105,Produto E,8,35.93,2024-12-01
39,102,Produto B,2,97.89,2024-11-17
40,105,Produto E,8,17.63,2024-11-04
41,105,Produto E,1,58.64,2024-11-12
42,102,Produto B,9,38.6,2024-11-30
43,101,Produto A,2,12.35,2024-11-30
44,101,Produto A,8,46.83,2024-11-22
45,104,Produto D,8,63.86,2024-11-26
46,104,Produto D,1,39.87,2024-11-04
47,102,Produto B,3,9.6,2024-11-29
48,103,Produto C,9,31.45,2024-11-17
49,102,Produto B,6,77.01,2024-11-30
50,105,Produto E,2,92.75,2024-11-02
51,104,Produto D,7,10.05,2024-11-20
52,105,Produto E,1,72.58,2024-11-05
53,102,Produto B,5,26.75,2024-11-15
54,103,Produto C,3,66.56,2024-11-11
55,103,Produto C,3,54.82,2024-11-04
56,101,Produto A,8,9.16,2024-11-03
57,103,Produto C,7,72.86,2024-11-03
58,101,Produto A,4,66.48,2024-11-03
59,105,Produto E,1,13.03,2024-11-02
60,101,Produto A,4,60.47,2024-11-18
61,101,Produto A,10,36.9,2024-11-03
62,103,Produto C,2,99.68,2024-11-21
63,105,Produto E,10,39.64,2024-11-13
64,102,Produto B,4,12.15,2024-11-23
65,104,Produto D,10,16.52,2024-11-23
66,104,Produto D,7,7.54,2024-11-01
67,105,Produto E,4,87.98,2024-11-18
68,103,Produto C,9,34.07,2024-11-06
69,103,Produto C,9,79.11,2024-11-10
70,105,Produto E,3,64.89,2024-11-26
71,105,Produto E,5,11.68,2024-11-13
72,102,Produto B,7,22.6,2024-11-08
73,102,Produto B,5,10.4,2024-11-26
74,104,Produto D,2,38.03,2024-11-19
75,101,Produto A,8,37.24,2024-11-16
76,103,Produto C,4,30.36,2024-11-10
77,104,Produto D,9,29.56,2024-11-21
78,101,Produto A,7,98.38,2024-11-02
79,102,Produto B,5,10.2,2024-11-23
80,103,Produto C,3,85.75,2024-11-30
81,102,Produto B,3,80.73,2024-11-27
82,105,Produto E,6,79.8,2024-11-27
83,104,Produto D,8,7.08,2024-11-10
84,101,Produto A,3,6.6,2024-11-14
85,101,Produto A,7,81.12,2024-11-18
86,102,Produto B,1,56.0,2024-11-23
87,105,Produto E,5,20.99,2024-11-24
88,103,Produto C,5,43.32,2024-11-05
89,104,Produto D,8,58.38,2024-11-28
90,101,Produto A,1,28.72,2024-11-12
91,104,Produto D,8,38.67,2024-11-23
92,102,Produto B,3,67.84,2024-11-10
93,103,Produto C,1,46.87,2024-11-22
94,102,Produto B,7,8.61,2024-11-14
95,101,Produto A,7,86.41,2024-11-09
96,102,Produto B,8,39.33,2024-11-20
97,103,Produto C,6,79.27,2024-11-27
98,102,Produto B,8,78.75,2024-11-02
99,101,Produto A,4,24.36,2024-11-01
100,104,Produto D,5,85.18,2024-11-29
101,103,Produto C,2,51.66,2024-11-16
102,105,Produto E,5,76.5,2024-11-14
103,101,Produto A,1,64.0,2024-11-17
104,102,Produto B,4,72.85,2024-11-03
105,102,Produto B,9,89.79,2024-11-15
106,102,Produto B,2,51.27,2024-11-14
107,104,Produto D,10,11.7,2024-11-07
108,101,Produto A,1,17.91,2024-11-26
109,102,Produto B,7,5.8,2024-11-13
110,101,Produto A,4,90.92,2024-11-22
111,104,Produto D,4,83.12,2024-11-02
112,101,Produto A,1,95.61,2024-11-04
113,103,Produto C,10,20.07,2024-11-25
114,101,Produto A,10,95.6,2024-11-13
115,105,Produto E,6,77.61,2024-11-24
116,104,Produto D,10,15.1,2024-11-19
117,105,Produto E,2,42.83,2024-11-20
118,103,Produto C,3,64.17,2024-12-01
119,105,Produto E,10,68.73,2024-11-10
120,101,Produto A,4,40.86,2024-11-24
121,101,Produto A,8,63.01,2024-11-04
122,101,Produto A,3,36.15,2024-11-27
123,102,Produto B,7,67.95,2024-11-24
124,101,Produto A,1,20.65,2024-11-23
125,101,Produto A,3,95.08,2024-11-13
126,105,Produto E,2,54.35,2024-11-02
127,103,Produto C,9,17.48,2024-11-08
128,101,Produto A,7,11.54,2024-11-19
129,104,Produto D,3,31.31,2024-11-15
130,104,Produto D,8,45.7,2024-12-01
131,104,Produto D,3,95.46,2024-11-11
132,103,Produto C,8,11.76,2024-11-09
133,105,Produto E,1,27.68,2024-11-09
134,101,Produto A,6,6.14,2024-11-27
135,104,Produto D,9,65.8,2024-11-04
136,103,Produto C,4,42.84,2024-11-03
137,101,Produto A,5,19.27,2024-11-16
138,102,Produto B,4,74.84,2024-11-27
139,103,Produto C,6,49.47,2024-11-30
140,103,Produto C,2,47.77,2024-11-01
141,101,Produto A,4,7.48,2024-11-01
142,102,Produto B,8,34.64,2024-11-20
143,103,Produto C,4,20.17,2024-11-16
144,103,Produto C,2,92.92,2024-11-08
145,104,Produto D,1,64.24,2024-11-04
146,103,Produto C,4,67.61,2024-11-23
147,102,Produto B,10,82.96,2024-11-02
148,103,Produto C,6,61.5,2024-11-28
149,104,Produto D,10,93.63,2024-11-26
150,105,Produto E,2,84.55,2024-11-21
151,103,Produto C,4,97.07,2024-11-19
152,104,Produto D,2,18.6,2024-11-16
153,101,Produto A,9,96.52,2024-11-23
154,105,Produto E,9,73.49,2024-11-09
155,105,Produto E,3,45.49,2024-11-25
156,102,Produto B,3,88.55,2024-11-13
157,101,Produto A,2,64.88,2024-11-02
158,105,Produto E,3,44.84,2024-12-01
159,101,Produto A,8,47.56,2024-11-25
160,105,Produto E,9,90.74,2024-11-12
161,105,Produto E,5,88.26,2024-11-25
162,102,Produto B,3,44.76,2024-11-19
163,102,Produto B,3,20.41,2024-11-29
164,103,Produto C,3,82.27,2024-11-14
165,102,Produto B,4,41.48,2024-11-06
166,105,Produto E,2,38.14,2024-11-22
167,103,Produto C,1,90.57,2024-11-21
168,102,Produto B,8,35.73,2024-11-07
169,102,Produto B,3,84.54,2024-11-30
170,104,Produto D,7,57.76,2024-11-13
171,103,Produto C,2,98.56,2024-11-17
172,101,Produto A,10,45.18,2024-11-26
173,102,Produto B,2,31.85,2024-11-23
174,105,Produto E,2,79.77,2024-11-09
175,101,Produto A,5,49.22,2024-11-26
176,102,Produto B,2,38.69,2024-11-25
177,104,Produto D,9,53.5,2024-11-08
178,104,Produto D,4,89.46,2024-11-21
179,103,Produto C,10,59.17,2024-11-04
180,105,Produto E,10,93.54,2024-11-26
181,101,Produto A,3,88.28,2024-11-09
182,104,Produto D,3,42.26,2024-11-13
183,105,Produto E,3,45.13,2024-11-23
184,102,Produto B,2,30.53,2024-11-21
185,103,Produto C,2,25.13,2024-11-19
186,102,Produto B,6,55.63,2024-11-08
187,102,Produto B,9,84.9,2024-12-01
