Produto,Quantidade,Preço Unitário,Total,Linha de Produto,Tipo de Cliente,Gênero,Cidade
Carne Bovina,1.0,25.0,25.0,Carnes,Pessoa Jurídica,Feminino,Rio de Janeiro
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Jurídica,Feminino,Rio de Janeiro
Frango,1.0,12.0,12.0,Carnes,Pessoa Jurídica,Feminino,Rio de Janeiro
Detergente,1.0,3.5,3.5,Limpeza,Pessoa Jurídica,Feminino,Rio de Janeiro
Leite,8.0,4.5,36.0,Laticínios,Pessoa Física,Masculino,Porto Alegre
Biscoito,8.0,3.0,24.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Porto Alegre
Frango,8.0,12.0,96.0,Carnes,Pessoa Física,Masculino,Porto Alegre
Leite,8.0,4.5,36.0,Laticínios,Pessoa Física,Feminino,Curitiba
Biscoito,6.0,3.0,18.0,Biscoitos e Salgadinhos,Pessoa Jurídica,Masculino,Belo Horizonte
Feijão,6.0,7.0,42.0,Cereais,Pessoa Jurídica,Masculino,Belo Horizonte
Frango,6.0,12.0,72.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Pão,6.0,2.5,15.0,Padaria,Pessoa Jurídica,Masculino,Belo Horizonte
Carne Bovina,6.0,25.0,150.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Leite,,4.5,27.0,Laticínios,Pessoa Jurídica,Feminino,Porto Alegre
Biscoito,1.0,3.0,3.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Belo Horizonte
Feijão,1.0,7.0,7.0,Cereais,Pessoa Física,Feminino,Belo Horizonte
Sabão,1.0,8.0,8.0,Limpeza,Pessoa Física,Feminino,Belo Horizonte
Leite,1.0,4.5,4.5,Laticínios,Pessoa Física,Feminino,Belo Horizonte
Arroz,3.0,5.0,15.0,Cereais,Pessoa Jurídica,Masculino,São Paulo
Biscoito,8.0,3.0,24.0,Biscoitos e Salgadinhos,Pessoa Física,Masculino,Rio de Janeiro
Carne Bovina,8.0,25.0,200.0,Carnes,Pessoa Física,Masculino,Rio de Janeiro
Arroz,8.0,5.0,40.0,Cereais,Pessoa Física,Masculino,Rio de Janeiro
Leite,8.0,4.5,36.0,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
Pão,8.0,2.5,20.0,Padaria,Pessoa Física,Masculino,Rio de Janeiro
Leite,7.0,4.5,31.5,Laticínios,Pessoa Física,Masculino,Rio de Janeiro
Sabão,7.0,8.0,56.0,Limpeza,Pessoa Física,Masculino,Rio de Janeiro
Detergente,7.0,3.5,24.5,Limpeza,Pessoa Física,Masculino,Rio de Janeiro
Carne Bovina,9.0,25.0,225.0,Carnes,Pessoa Jurídica,Masculino,Belo Horizonte
Sabão,8.0,8.0,64.0,Limpeza,Pessoa Física,Feminino,Porto Alegre
Arroz,8.0,5.0,40.0,Cereais,Pessoa Física,Feminino,Porto Alegre
Leite,8.0,4.5,36.0,Laticínios,Pessoa Física,Feminino,Porto Alegre
Frango,6.0,12.0,72.0,Carnes,Pessoa Física,Feminino,Belo Horizonte
Biscoito,6.0,3.0,18.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Belo Horizonte
Detergente,6.0,3.5,21.0,Limpeza,Pessoa Física,Feminino,Belo Horizonte
Feijão,6.0,7.0,42.0,Cereais,Pessoa Física,Feminino,Belo Horizonte
Iogurte,2.0,3.0,6.0,Laticínios,Pessoa Jurídica,Masculino,Rio de Janeiro
Arroz,2.0,5.0,10.0,Cereais,Pessoa Jurídica,Masculino,Rio de Janeiro
Leite,2.0,4.5,9.0,Laticínios,Pessoa Jurídica,Masculino,Rio de Janeiro
Frango,2.0,12.0,24.0,Carnes,Pessoa Jurídica,Masculino,Rio de Janeiro
Sabão,2.0,8.0,16.0,Limpeza,Pessoa Jurídica,Masculino,Rio de Janeiro
Carne Bovina,8.0,25.0,200.0,Carnes,Pessoa Jurídica,Feminino,Curitiba
Sabão,8.0,8.0,64.0,Limpeza,Pessoa Jurídica,Feminino,Curitiba
Detergente,,3.5,28.0,Limpeza,Pessoa Jurídica,Feminino,Curitiba
Iogurte,8.0,3.0,24.0,Laticínios,Pessoa Jurídica,Feminino,Curitiba
Arroz,3.0,5.0,15.0,Cereais,Pessoa Jurídica,Masculino,Porto Alegre
Sabão,3.0,8.0,24.0,Limpeza,Pessoa Jurídica,Masculino,Porto Alegre
Pão,3.0,2.5,7.5,Padaria,Pessoa Jurídica,Masculino,Porto Alegre
Sabão,2.0,8.0,16.0,Limpeza,Pessoa Física,Feminino,Rio de Janeiro
Iogurte,2.0,3.0,6.0,Laticínios,Pessoa Física,Feminino,Rio de Janeiro
Pão,2.0,2.5,5.0,Padaria,Pessoa Física,Feminino,Rio de Janeiro
Biscoito,2.0,3.0,6.0,Biscoitos e Salgadinhos,Pessoa Física,Feminino,Rio de Janeiro
Frango,2.0,12.0,24.0,Carnes,Pessoa Física,Feminino,Rio de Janeiro
Pão,10.0,2.5,25.0,Padaria,Pessoa Física,Feminino,Rio de Janeiro
Arroz,10.0,5.0,50.0,Cereais,Pessoa Física,Feminino,Rio de Janeiro
